CONCAT,TIPO,ACOMODAÇÃO,CATEGORIA,CÓDIGO,PLANO, PL C/ DESC, VR. CORRIG,TIT/DEP, CORRIGIDO,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,50 A 59 ANOS,"626,67","814,08","679,75","883,03",,,,,,
,,,,,,,,,,,,,,60 A MAIS,"750,90","917,90","814,67","999,98",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,TIPO DE PLANO,NOSSO PLANO,,MIX,,,,,,,
,,,,,,,,,,,,,,,(REDE PRÓPRIA),,(REDE PRÓPRIA + CREDENCIADA),,,,,,,
,,,,,,,,,,,,,,ACOMODAÇÃO,ENFERMARIA,APARTAMENTO,ENFERMARIA,APARTAMENTO,,,,,,
,,,,,,,,,,,,,,DEPENDENTE,"310,54","395,23","388,18","496,87",,,,,,
,,,,,,,,,,,,,,14 A 29 ANOS,"348,00","442,92","435,00","556,79",,,,,,
,,,,,,,,,,,,,,30 A 49 ANOS,"414,05","526,97","517,56","662,48",,,,,,
,,,,,,,,,,,,,,50 A 59 ANOS,"638,28","753,78","765,93","1.021,24",,,,,,
,,,,,,,,,,,,,,60 A MAIS,"764,81","879,91","917,77","1.223,69",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,LIS 2026,,,,,,,,,,
,,,,,,,,,,,,,,TIPO DE PLANO,PLANO MIX,,PLANO MIX,,,,,,,
,,,,,,,,,,,,,,,(SEM OBSTETRICIA),,(COM OBSTETRICIA),,,,,,,
,,,,,,,,,,,,,,ACOMODAÇÃO,ENFERMARIA,APARTAMENTO,ENFERMARIA,APARTAMENTO,,,,,,
,,,,,,,,,,,,,,DEPENDENTE,"411,61","576,25","430,63","602,45",,,,,,
,,,,,,,,,,,,,,14 A 29 ANOS,"461,25","645,78","496,06","719,33",,,,,,
,,,,,,,,,,,,,,30 A 49 ANOS,"548,81","768,32","574,17","803,84",,,,,,
,,,,,,,,,,,,,,50 A 59 ANOS,"846,00","1.099,01","917,67","1.192,09",,,,,,
,,,,,,,,,,,,,,60 A MAIS,"1.013,72","1.239,17","1.099,80","1.349,98",,,,,,
